Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
1192 (tie),Northwest Nazarene University,"Private School, Religious",44200,72500,0.68,0.07
1194 (tie),Chatham University,Private School,40800,72400,0.52,0.08
1194 (tie),Eastern Mennonite University,"Private School, Religious",45100,72400,0.62,0.04
1194 (tie),Shorter University-College of Adult & Professional Programs,"Business, Private School, Religious",44400,72400,N/A,0
1194 (tie),University of Hawaii at Hilo,State School,44000,72400,0.53,0.13
1198 (tie),Greenville College,"Private School, Religious",43500,72300,0.62,0.1
1198 (tie),Mount Marty College,"Private School, Religious",40100,72300,0.73,0.01
1198 (tie),Siena Heights University,"Private School, Religious",43000,72300,0.55,0.04
1198 (tie),Wilmington College,"Private School, Religious",42500,72300,0.58,0.07
1202 (tie),Austin Peay State University,"For Sports Fans, State School",44000,72200,0.68,0.1
1202 (tie),Kentucky State University,State School,40600,72200,0.59,0.15
1204 (tie),Johnson C Smith University,"Liberal Arts School, Private School",44000,72100,0.6,0.18
1204 (tie),Lubbock Christian University,"Private School, Religious",42600,72100,0.7,0.07
1204 (tie),University of North Carolina at Asheville,"Liberal Arts School, For Sports Fans, State School",42400,72100,0.53,0.21
1207 (tie),Northern State University,State School,42000,72000,0.58,0.11
1207 (tie),West Liberty University,State School,40600,72000,0.59,0.07
1209 (tie),Arkansas Tech University,State School,44200,71900,0.55,0.08
1209 (tie),Newbury College,Private School,42000,71900,0.46,0.03
1209 (tie),University of Mary,"Private School, Religious",46300,71900,0.6,0.04
1209 (tie),William Penn University,"Private School, Religious",44000,71900,0.54,0.08
1213 (tie),Barton College,"Private School, Religious",43000,71800,0.63,0.09
1213 (tie),University of Rio Grande,Private School,40100,71800,0.61,0.06
1215 (tie),Alvernia University,"Private School, Religious",44900,71700,0.54,0.03
1215 (tie),Lindenwood University,"Private School, Research University",42600,71700,0.49,0.07
1215 (tie),Regent University,"Private School, Research University",40900,71700,0.68,0.01
1215 (tie),Shorter University,"Private School, Religious",44000,71700,0.61,0.06
1219 (tie),Ashland University,"Private School, Religious, Research University",42600,71600,0.52,0.05
1219 (tie),Baker College,Private School,45400,71600,0.51,0.09
1219 (tie),Florida SouthWestern State College,State School,41400,71600,N/A,0.01
1219 (tie),Lee University,"Private School, Religious",39300,71600,0.63,0.03
1219 (tie),Mount Mary University,"Private School, Religious",43800,71600,0.58,0.03
1219 (tie),Salem College,"Liberal Arts School, Private School, Religious",38700,71600,0.58,0.13
1219 (tie),Wayne State College,State School,40100,71600,0.58,0.08
1219 (tie),Wingate University,Private School,41500,71600,0.53,0.07
1227 (tie),Drury University,Private School,42100,71500,0.58,0.1
1227 (tie),MidAmerica Nazarene University,"Private School, Religious",46300,71500,0.66,0.02
1227 (tie),Piedmont College,"Private School, Religious",42300,71500,0.55,0.03
1227 (tie),St Petersburg College,State School,45800,71500,0.55,0.09
1227 (tie),University of Wisconsin-Green Bay,"For Sports Fans, State School",42200,71500,0.48,0.06
1227 (tie),Upper Iowa University,Private School,43700,71500,0.56,0.02
1233 (tie),Universidad del Turabo,"Private School, Research University",44400,71400,0.68,0.08
1233 (tie),Warner University,"Private School, Religious",40700,71400,0.66,0.03
1233 (tie),Wilmington University,"Private School, Research University",44200,71400,0.53,0.04
1236 (tie),Cedar Crest College,Private School,46200,71300,0.58,0.05
1236 (tie),Howard Payne University,"Private School, Religious",41700,71300,0.57,0.07
